date,avg_price
2025-09-01,108575.58333333333
2025-08-26,110303.29861111111
2025-07-16,118612.47222222222
2019-10-28,9502.020114436129
2020-11-28,17140.275552523621
2021-08-25,47940.6079149608
2024-12-02,97311.707190843241
2016-12-15,775.57249999999976
2016-07-29,657.34237919466534
2015-08-09,264.33848338932569
2019-06-29,12352.196865912691
2013-10-10,129.68
2019-04-11,5308.9056831644411
2021-07-01,35171.486304850056
2019-03-17,4007.7094638188728
2014-09-01,475.82000000000022
2020-06-28,9013.90556467614
2023-05-12,27024.765729299779
2022-09-16,19702.169889811717
2013-12-17,691.65
2017-01-14,817.82500000000027
2022-10-08,19457.308951251147
2021-08-31,47124.254224694021
2016-01-13,432.12000000000012
2021-07-18,31588.6713510167
2016-05-05,448.92199999999991
2024-09-05,57987.84601410068
2023-07-15,30311.827808130518
2018-02-24,10301.883609336
2016-11-22,748.1225
2014-03-05,658.24
2022-09-06,19785.733501855138
2017-03-11,1181.2041227520244
2016-03-30,412.597
2014-10-24,354.31750000000011
2020-05-30,9427.120373393418
2014-12-05,376.379
2023-12-24,43752.030884783759
2023-12-19,42684.182554683386
2021-08-28,49083.103305862191
2023-12-12,41200.962726101679
2018-05-29,7111.06892466996
2014-05-13,437.305
2018-10-20,6483.8277694717981
2017-09-30,4297.79117003372
2015-02-01,226.2697
2025-10-06,124468.80555555556
2025-07-12,117626.51388888888
2025-09-07,110953.69444444444
2025-09-08,111783.6875
2023-03-08,22217.209884905325
2016-10-04,609.2425
2015-08-30,228.0672
2019-06-10,7668.0296278601827
2013-10-31,203.88
2023-11-10,36768.420819126717
2017-10-21,6043.96673129542
2016-01-10,447.20699999999988
2021-06-09,33557.150683091837
2013-05-12,114.713
2018-04-05,6845.31597826858
2018-08-17,6309.3852262189957
2023-01-29,23022.232991353441
2017-10-27,5775.51666530736
2022-03-25,43936.096234540579
2024-07-21,67206.064706148944
2019-06-04,8173.6327617967381
2017-11-27,9831.40292992241
2021-05-14,49972.795398372444
2015-03-08,274.578
2019-07-09,12260.282697872621
2017-04-27,1331.3125
2014-04-18,478.2312
2019-01-15,3648.04828565649
2019-06-25,11045.550419814825
2021-10-10,55125.460337680444
2021-05-20,37287.391402427369
2022-01-07,43216.458676933587
2019-12-21,7185.4391796307564
2018-01-02,15321.9328517642
2024-03-14,73097.767026941277
2019-08-01,10062.996285663326
2023-08-02,29537.109746927432
2014-05-30,621.1467
2017-03-19,1023.4901008756748
2019-12-16,7108.5630217780463
2020-09-01,11672.324104943627
2020-03-15,5214.1891123839177
2022-03-18,41001.709578019741
2013-09-01,138.17
2023-03-30,28394.997780199057
2022-02-02,38835.69494322237
2024-06-03,67740.016902224757
2024-11-06,69335.425531337576
2025-03-11,81007.833333333358
2025-03-23,84660.645833333328
2025-07-03,109453.05555555556
2022-09-23,19464.322663348466
2020-04-07,7297.6355582894957
2020-01-11,8180.5131698038049
2017-01-30,920.99114588226212
2021-03-30,57634.928694475391
2016-01-20,418.848
2014-12-22,329.886
2021-12-13,50051.078348674855
2014-07-01,643.93500000000006
2019-03-26,3927.5772965214342
2019-07-11,12166.398288868606
2019-05-07,5715.7571359661015
2019-02-21,3976.808906528991
2020-08-18,12272.465808160425
2019-08-18,10224.218706633936
2022-03-29,46994.879118357465
2018-03-15,8307.22338626638
2018-07-27,7929.079243602936
2022-11-08,20597.755017060834
2016-12-01,753.05500000000006
2018-02-08,7611.61027778882
2020-10-11,11286.541942043945
2019-08-17,10324.993597415598
2017-08-06,3189.7324534615
2015-12-19,462.05299999999988
2013-05-04,111.25
2020-09-29,10672.02854425897
2013-11-18,580.87
2020-11-03,13558.361795524168
2014-03-07,617.62
2016-07-24,660.848923533057
2016-03-13,412.49499999999989
2019-11-20,8138.831605359057
2015-04-02,252.341
2017-01-04,1130.8495163207272
2015-05-03,239.882
2015-05-01,232.74029999999991
2019-12-29,7307.8875226833334
2024-02-20,51764.313185487765
2021-01-04,33008.226203489285
2025-06-29,107669.81250000001
2024-12-25,98541.648670579656
2025-06-17,105761.30555555556
2025-01-16,99522.777777777752
2025-04-01,84039.458333333343
2018-05-22,8354.99633591748
2018-06-12,6880.13364875604
2016-02-01,371.041
2015-01-20,210.5137
2014-04-03,447.0822
2015-12-01,363.44999999999987
2018-02-15,9428.02560716167
2015-05-19,231.94460000000009
2014-10-14,398.2888
2022-03-12,38775.17558840679
2019-11-03,9302.83461784109
2022-12-19,16742.816663834055
2015-01-17,199.4914
2024-10-06,62091.932585194016
2014-11-24,377.7417
2024-05-06,64010.008652108918
2023-12-06,44105.944772599381
2013-12-10,927.78
2019-04-27,5295.8473200482276
2023-09-22,26561.133454198716
2014-09-18,423.565
2018-06-02,7487.07630453815
2015-03-05,274.8255
2022-12-14,17784.162894053265
2018-07-31,8185.9211383023294
2013-09-20,128.57
2022-04-20,41498.122446698319
2015-05-07,236.84500000000011
2023-05-09,27696.76078562556
2023-05-05,28846.461458608057
2015-11-08,371.50200000000012
2023-06-14,25872.206458795092
2021-01-11,38397.895985418174
2024-03-19,67708.943609308059
2024-01-09,46936.185561217506
2022-12-07,17085.64314125141
2022-03-26,44331.777957064121
2014-03-14,629.67
2020-10-06,10784.94940309411
2018-04-29,9249.65952508923
2016-07-01,677.70999999999992
2022-10-27,20774.247496426033
2022-03-15,39669.423812004505
2013-08-10,102.71
2022-12-04,16923.382870080331
2014-10-19,386.945
2016-12-25,894.33713316886212
2018-11-12,6434.2845969255495
2020-01-02,7193.7546679601
2016-06-25,666.0566978558096
2015-11-12,337.955
2022-08-27,20271.322951706014
2025-08-15,118258.49305555556
2025-06-22,101318.04861111111
2025-05-25,107644.36111111111
2015-01-19,214.545
2022-12-05,17149.931750962911
2019-11-01,9151.8245944597675
2017-05-28,2219.4875
2020-09-24,10223.784106392732
2014-10-28,351.56380000000013
2016-03-06,404.912
2023-04-10,28351.236993850111
2016-07-26,651.30999999999983
2016-04-01,416.754
2016-06-19,764.04599999999994
2021-12-02,57169.371993810557
2021-09-26,42856.855164224515
2015-05-31,229.6785
2017-12-06,13876.4735794148
2021-08-14,47717.27052766495
2014-12-29,312.63299999999992
2016-12-17,788.87749999999983
2020-01-14,8110.6479645037716
2014-04-06,460.7028
2023-01-13,18866.810330617045
2017-12-24,14451.1145466743
2015-05-20,234.048
2014-06-11,630.0367
2018-11-20,4889.1978592391106
2017-01-18,873.9349999999996
2013-09-28,133.93
2021-06-11,36903.304906778896
2019-08-21,10743.789313302059
2020-03-11,7906.7315285106324
2024-05-31,68372.492884340929
2019-12-15,7081.7402552657268
2015-09-29,237.2262
2020-06-03,9515.2438586557182
2015-08-13,263.65581861690379
2019-08-07,11510.164154730011
2018-08-01,7738.249304586212
2023-10-24,32953.262760830985
2015-11-09,380.64399999999989
2014-01-27,891.86
2025-01-19,104596.30555555556
2025-10-02,119342.68055555556
2025-02-03,96883.430555555489
2025-04-11,81990.965277777766
2025-03-08,86190.062500000058
2013-09-08,121.77
2021-07-10,33971.297749757956
2023-05-31,27713.908547529507
2019-10-04,8176.3546794065824
2017-03-27,1042.6050726198062
2024-11-13,88264.599745828949
2023-07-29,29314.097387098362
2014-11-19,376.7883
2014-09-13,476.0013
2019-04-08,5176.97788362072
2017-03-01,1227.4771489660905
2014-11-11,366.15
2016-03-20,411.88200000000012
2024-09-29,65934.107094413572
2021-09-15,47135.431995626939
2022-05-05,39699.024041253877
2020-07-24,9589.81771944117
2020-07-01,9149.7219967580168
2018-09-04,7260.897516647864
2021-07-13,33262.6543524462
2024-08-05,58006.206586686734
2021-05-04,57200.30029871162
2018-11-24,4376.9049468015519
2023-10-20,28715.748142407952
2017-07-22,2802.34788667742
2023-08-05,29087.938086007627
2016-04-10,421.133
2016-05-07,459.24799999999982
2016-02-17,416.84999999999991
2020-04-09,7342.2916011480238
2021-01-10,40296.5290038294
2013-09-05,129.96
2015-08-20,234.6379
2013-09-16,131.48
2015-09-11,240.00079564388659
2018-01-04,15976.365194174
2023-09-30,26917.199101637976
2014-01-22,865.03
2015-02-28,253.5991
2015-09-18,232.354
2017-04-11,1226.618
2015-10-28,303.6366
2016-09-18,608.79500000000019
2022-05-18,30502.19328027689
2022-01-21,40707.6824143097
2016-08-23,582.0038
2013-09-23,126.73
